trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB04_Changseob::LG_1p2mps,hip_flexion_l,hip,AB04_Changseob,LG_1p2mps,0.16035250480000002,0.8295633807,0.1631325126,0.8236024838,0.002780007799999984,-0.005960896900000012,True,True
AB04_Changseob::LG_1p2mps,knee_angle_l,knee,AB04_Changseob,LG_1p2mps,0.07560981630000001,0.8830505371,0.1452602267,0.5683464662000001,0.06965041039999999,-0.31470407089999997,True,True
AB04_Changseob::LG_1p2mps,ankle_angle_l,ankle,AB04_Changseob,LG_1p2mps,0.10469003980000001,0.9595973063000001,0.1600193361,0.9056059717,0.05532929629999998,-0.05399133460000005,True,True
AB04_Changseob::LG_1p6mps,hip_flexion_r,hip,AB04_Changseob,LG_1p6mps,0.1506181485,0.9093313834000001,0.1610213784,0.8963738269,0.010403229900000005,-0.012957556500000078,True,True
AB04_Changseob::LG_1p6mps,knee_angle_r,knee,AB04_Changseob,LG_1p6mps,0.0665785795,0.9607349012,0.1442056991,0.8157945424,0.0776271196,-0.1449403588,True,True
AB04_Changseob::LG_1p6mps,ankle_angle_r,ankle,AB04_Changseob,LG_1p6mps,0.0949003296,0.976251984,0.1789965294,0.9155147074000001,0.0840961998,-0.060737276599999945,True,True
AB04_Changseob::LG_1p6mps,hip_flexion_l,hip,AB04_Changseob,LG_1p6mps,0.17392431460000002,0.8992402150000001,0.2084281759,0.8552963498,0.034503861299999994,-0.04394386520000004,True,True
AB04_Changseob::LG_1p6mps,knee_angle_l,knee,AB04_Changseob,LG_1p6mps,0.0667892097,0.9495847594000001,0.1062830824,0.8723333337,0.0394938727,-0.0772514257000001,True,True
AB04_Changseob::LG_1p6mps,ankle_angle_l,ankle,AB04_Changseob,LG_1p6mps,0.1104156211,0.9665489179000001,0.1796750885,0.9114222047,0.0692594674,-0.055126713200000066,True,True
AB05_Maria::RA_0p8mps,hip_flexion_r,hip,AB05_Maria,RA_0p8mps,0.2557853487,0.40943728430000004,0.13845802670000001,0.826958221,-0.11732732200000001,0.4175209367,False,False
AB05_Maria::RA_0p8mps,knee_angle_r,knee,AB05_Maria,RA_0p8mps,0.11650877820000001,0.8625675681,0.1283907619,0.8331064748,0.011881983700000001,-0.02946109330000002,True,True
AB05_Maria::RA_0p8mps,ankle_angle_r,ankle,AB05_Maria,RA_0p8mps,0.13781042670000002,0.9259403052,0.18690395880000002,0.8637756439000001,0.049093532100000004,-0.06216466129999998,True,True
AB05_Maria::RA_0p8mps,hip_flexion_l,hip,AB05_Maria,RA_0p8mps,0.2036866512,0.6240917386,0.1287193557,0.8498779630000001,-0.0749672955,0.22578622440000007,False,False
AB05_Maria::RA_0p8mps,knee_angle_l,knee,AB05_Maria,RA_0p8mps,0.12190547800000001,0.8316368795,0.1062945093,0.8719963993000001,-0.015610968700000005,0.04035951980000008,False,False
AB05_Maria::RA_0p8mps,ankle_angle_l,ankle,AB05_Maria,RA_0p8mps,0.2537675205,0.7647765667,0.1540077749,0.9133649153000001,-0.0997597456,0.14858834860000003,False,False
AB05_Maria::RD_0p8mps,hip_flexion_r,hip,AB05_Maria,RD_0p8mps,0.1626054351,0.4923557525,0.21032641,0.1506690074,0.04772097489999999,-0.3416867451,True,True
AB05_Maria::RD_0p8mps,knee_angle_r,knee,AB05_Maria,RD_0p8mps,0.09174201850000001,0.8875195327000001,0.1507407544,0.6963299938,0.0589987359,-0.1911895389,True,True
AB05_Maria::RD_0p8mps,ankle_angle_r,ankle,AB05_Maria,RD_0p8mps,0.163188215,0.887260076,0.2147659341,0.80473206,0.0515777191,-0.08252801600000004,True,True
AB05_Maria::RD_0p8mps,hip_flexion_l,hip,AB05_Maria,RD_0p8mps,0.1832507269,0.3740097785,0.22430999470000001,0.0620636072,0.04105926780000002,-0.3119461713,True,True
